date,se_F,se_N,se_gap,basket,pair,gap_12m,z
2020-08-01,0.03553163687838612,0.030415731734779253,0.04677193556203919,oer_all_in,mk,-0.24571485045787878,-5.253467651172099
2020-09-01,0.03589503946385604,0.028934761206316842,0.046105035128262944,oer_all_in,mk,-0.20773754719054516,-4.505745340235074
2020-10-01,0.03732033051870374,0.028335564832739763,0.04685841764737354,oer_all_in,mk,-0.188353313032108,-4.019625981601309
2020-11-01,0.034098787276009436,0.025204045436384402,0.042402490493529656,oer_all_in,mk,-0.15144150658830124,-3.571523861585683
2020-12-01,0.030963615561187575,0.02221280202515859,0.038107139258017085,oer_all_in,mk,-0.1185717347279791,-3.1115359755858254
2021-01-01,0.03074849844107885,0.022365855105683976,0.03802238328918216,oer_all_in,mk,-0.10933299199142876,-2.875490238470542
2021-02-01,0.02801900026062151,0.021250395895477486,0.03516594519303064,oer_all_in,mk,-0.10765743426597307,-3.061411649111856
2021-03-01,0.023818203374267866,0.02068337850752277,0.03154534765164968,oer_all_in,mk,0.009389854024033362,0.2976620872188205
2021-04-01,0.04818122825733317,0.04225795956514718,0.06408717424723026,oer_all_in,mk,0.26605773979409,4.151497439530009
2021-05-01,0.07350218720929619,0.058311774396177206,0.09382342222377679,oer_all_in,mk,0.3915619216932731,4.173392021017575
2021-06-01,0.12298518298689952,0.08446356701975706,0.14919600996012644,oer_all_in,mk,0.536868997480533,3.598413909487355
2021-07-01,0.1240095253750238,0.08522154662085861,0.15046951316525833,oer_all_in,mk,0.5695122641733441,3.7849013543883645
2021-08-01,0.1038295802415447,0.07299809158059642,0.126922429489608,oer_all_in,mk,0.4854322053054583,3.824636884572115
2021-09-01,0.08364495044845802,0.061077037478454346,0.10357066304060003,oer_all_in,mk,0.4385305842720344,4.2341196956528995
2021-10-01,0.0877369150932502,0.06639125617082446,0.11002529330122339,oer_all_in,mk,0.49765211084420446,4.523070067913839
2021-11-01,0.10353949001738734,0.07780181456522238,0.12951273428779853,oer_all_in,mk,0.5497444232783755,4.244713280909916
2021-12-01,0.12241462928483061,0.08680869882688527,0.15007028904803035,oer_all_in,mk,0.5971212164906037,3.978943602217582
2022-01-01,0.1282028603053789,0.09144530406637982,0.1574744964312417,oer_all_in,mk,0.5738742338639238,3.6442360310356365
2022-02-01,0.12891398350550776,0.0914543491606963,0.15805920765227463,oer_all_in,mk,0.6028690706726181,3.8141977277205603
2022-03-01,0.1095782692434269,0.0808580819440575,0.13618159385929096,oer_all_in,mk,0.5988281918411822,4.397277009842599
2022-04-01,0.07781488258044976,0.06266781384087802,0.0999120155066653,oer_all_in,mk,0.45520872339286456,4.556095891814902
2022-05-01,0.06544063676494642,0.05919982652185276,0.0882445261782232,oer_all_in,mk,0.37383558328070166,4.2363600267475405
2022-06-01,0.06375547807575714,0.06671620857019003,0.0922811653082548,oer_all_in,mk,0.250617774314831,2.715806345505832
2022-07-01,0.05805857982448837,0.055989802346660754,0.08065765095795083,oer_all_in,mk,0.14470919693663298,1.7941161838704438
2022-08-01,0.04770770619247937,0.04667136859725366,0.06674010695892425,oer_all_in,mk,0.08107751927317608,1.21482453306639
2022-09-01,0.05146210494761686,0.048036957853827326,0.07039813609386199,oer_all_in,mk,-0.022695985683562014,-0.32239469598032267
2022-10-01,0.04772278105272617,0.0441739204682404,0.06502921713307695,oer_all_in,mk,-0.13389438568211887,-2.058988122340686
2022-11-01,0.0534320866319578,0.04570181686278699,0.07031105138173348,oer_all_in,mk,-0.2900146522935021,-4.124737812821936
2022-12-01,0.06565901112244267,0.050374420841316714,0.08275680042555496,oer_all_in,mk,-0.42560831362037366,-5.142880239832805
2023-01-01,0.07444162981910438,0.05680637903929233,0.09364038097786831,oer_all_in,mk,-0.4321859191849242,-4.6153797610784
2023-02-01,0.07592703466550232,0.05793375801971363,0.09550515646489002,oer_all_in,mk,-0.5004635439315619,-5.240173017417591
2023-03-01,0.06473986256764389,0.04964374428304285,0.08158278710437372,oer_all_in,mk,-0.5301042611361995,-6.497746399102613
2023-04-01,0.05916662960771977,0.04206841417202709,0.07259780664790302,oer_all_in,mk,-0.515332778202926,-7.098462088562441
2023-05-01,0.06084334996592751,0.042763301800435735,0.07436809272767106,oer_all_in,mk,-0.553292607538558,-7.439919288567253
2023-06-01,0.06531364841847145,0.04704073488094052,0.08049039326447992,oer_all_in,mk,-0.6108343926316762,-7.588910525316503
2023-07-01,0.06651749988184227,0.0464287651563668,0.08111848139897557,oer_all_in,mk,-0.5938423428064388,-7.320678747493642
2023-08-01,0.06880488643809159,0.04578935429226006,0.08264851701186655,oer_all_in,mk,-0.5632137535194648,-6.814565752445375
2023-09-01,0.06995788252545747,0.04609258241521896,0.08377727305868496,oer_all_in,mk,-0.4970056530031908,-5.932463958990935
2023-10-01,0.06401081495438454,0.04282559472284869,0.07701568667804076,oer_all_in,mk,-0.5512871774613348,-7.158115459853733
2023-11-01,0.057081414369896596,0.03762713263723706,0.06836730927108414,oer_all_in,mk,-0.54900157841975,-8.030176765373293
2023-12-01,0.053257092643558136,0.03292905390049019,0.06261501822746618,oer_all_in,mk,-0.5007647927202541,-7.997518916325936
2024-01-01,0.04203352405788246,0.03404222869805833,0.05408965224010494,oer_all_in,mk,-0.4641541979234276,-8.58120137032937
2024-02-01,0.0388647522481403,0.031118628369449224,0.049787930253277414,oer_all_in,mk,-0.4030718487918916,-8.095774352165572
2024-03-01,0.03891570961481958,0.031229007413932378,0.04989672693558571,oer_all_in,mk,-0.41068477157280014,-8.230695614623672
2024-04-01,0.04339255448767408,0.035270231566312225,0.055918717972670395,oer_all_in,mk,-0.3965302324109299,-7.091189619274342
2024-05-01,0.04709015616118299,0.038412236029364756,0.06076991594580519,oer_all_in,mk,-0.40179708172483064,-6.611776163770814
2024-06-01,0.047135478486713664,0.03871040369924371,0.06099384138361731,oer_all_in,mk,-0.43630547776658535,-7.153271016699321
2024-07-01,0.04807429577990639,0.03955243154559018,0.06225377704125688,oer_all_in,mk,-0.4630741006510952,-7.438490042848425
2024-08-01,0.0471752407292838,0.03883465187757354,0.0611034657308258,oer_all_in,mk,-0.41607761899333795,-6.809394753912182
2024-09-01,0.04048077037789531,0.03327861270541177,0.0524038055296052,oer_all_in,mk,-0.37993381058474274,-7.250118703117878
2024-10-01,0.03642800567477406,0.0300319609182975,0.04721142101271174,oer_all_in,mk,-0.3101601187450287,-6.569599306521989
2024-11-01,0.03269011225633641,0.027158811271905982,0.042499934929772346,oer_all_in,mk,-0.2053426596144492,-4.831599388416973
2024-12-01,0.030441778214132725,0.025213014495721317,0.03952718002589989,oer_all_in,mk,-0.1961301801047144,-4.961906717762349
2025-01-01,0.02726342800913917,0.0215997449140763,0.03478280447523861,oer_all_in,mk,-0.16986968932002355,-4.883726079101856
2025-02-01,0.026413184741819785,0.02093923989862159,0.03370620263004315,oer_all_in,mk,-0.21949945679571314,-6.512138409803186
2025-03-01,0.03094407340139483,0.02122148364591877,0.03752182094201864,oer_all_in,mk,-0.2540685584069502,-6.771221439374033
2025-04-01,0.02780621325116661,0.020748107099295775,0.03469393957989207,oer_all_in,mk,-0.27240917913724516,-7.851779948770309
2025-05-01,0.02537619703946699,0.019292576183975882,0.031877184191838,oer_all_in,mk,-0.25368866518913347,-7.9583147514669514
2025-06-01,0.026072814019946603,0.017758506053913933,0.03154609592620967,oer_all_in,mk,-0.21014408103510185,-6.661492487902643
2025-07-01,0.02703102560398754,0.016586750170018982,0.03171429687705617,oer_all_in,mk,-0.14962425304825278,-4.717880192276911
2025-08-01,0.022706088514478556,0.015283401792992955,0.027370583223479093,oer_all_in,mk,-0.13134816840754127,-4.7988808764172735
2025-09-01,0.015701831272420596,0.012997326574773347,0.020383277543095834,oer_all_in,mk,-0.09614098488412992,-4.716659756060404
2025-11-01,0.024081337832866787,0.014147772388977067,0.0279297385485608,oer_all_in,mk,-0.1400469918863001,-5.014260754457246
2025-12-01,0.01869713801362896,0.013781372466090295,0.023227337276360387,oer_all_in,mk,-0.0945276106114834,-4.069670556154917
2026-01-01,0.022779913914043336,0.01816600012713095,0.029136369687216473,oer_all_in,mk,-0.15168495336219667,-5.206034759668366
2026-02-01,0.02542913767201185,0.020498137124893356,0.03266212896204201,oer_all_in,mk,-0.08462575525232108,-2.5909442507764306
2026-03-01,0.03283482710383784,0.026132408933656755,0.041964612087028605,oer_all_in,mk,0.06134229229204369,1.4617624050671205
2026-04-01,0.04247454514179564,0.03188305298944673,0.05310947234656266,oer_all_in,mk,0.06582361443547846,1.2393949991811335
2026-05-01,0.05469448062937196,0.040848424611956154,0.06826477865338325,oer_all_in,mk,0.08847363416728538,1.2960363442546747
2026-06-01,0.04179998194063958,0.03158391177232664,0.05239066685088011,oer_all_in,mk,0.04632839412963552,0.8842871624730474
2026-07-01,0.03774078109569088,0.028890798419351275,0.04752940974828583,oer_all_in,mk,0.009936145644950933,0.2090525781315701
2014-12-01,0.022007508774596587,0.02209369535312684,0.031184320047432882,pm_oer_all_in,fam,-0.25251334204787756,-8.097445820970037
2015-01-01,0.031242162517959613,0.030314425879116008,0.043532024248580714,pm_oer_all_in,fam,-0.3085956469515372,-7.0889340038350825
2015-02-01,0.02603813107448705,0.025527897960433116,0.036464473726223634,pm_oer_all_in,fam,-0.29746977936413455,-8.157797136948872
2015-03-01,0.024956712952736926,0.024337262716215405,0.034858856520594526,pm_oer_all_in,fam,-0.26280980612489735,-7.539254937109884
2015-04-01,0.02808121467181313,0.026899669275036387,0.038886332104619864,pm_oer_all_in,fam,-0.2808215344232923,-7.221599961337816
2015-05-01,0.024304066547549182,0.023809123278353956,0.03402296286380061,pm_oer_all_in,fam,-0.24480394473281875,-7.195256501110978
2015-06-01,0.024532140443568905,0.02402399354319759,0.03433625169564361,pm_oer_all_in,fam,-0.21533530428766712,-6.271368994973544
2015-07-01,0.02439205124582105,0.024011949057013388,0.03422785213090892,pm_oer_all_in,fam,-0.2056126460840524,-6.00717349419589
2015-08-01,0.024876753006916573,0.024483177938840195,0.03490385139425224,pm_oer_all_in,fam,-0.22721435675876478,-6.509721640523059
2015-09-01,0.028087432175781524,0.027430175955972736,0.039259628108334804,pm_oer_all_in,fam,-0.29046149804307086,-7.398478081390842
2015-10-01,0.025294593288222835,0.025133193089753692,0.035658012346504266,pm_oer_all_in,fam,-0.3016359852893835,-8.459136262511121
2015-11-01,0.022623772296409436,0.02264007514420703,0.0320063755438682,pm_oer_all_in,fam,-0.25510919099822615,-7.970574195399646
2015-12-01,0.020111877631479466,0.020653826839729637,0.02882825324207383,pm_oer_all_in,fam,-0.22234867005630488,-7.7128734852306184
2016-01-01,0.015132266832670823,0.015702513980858396,0.021807210844447825,pm_oer_all_in,fam,-0.1520320994194524,-6.971643485446474
2016-02-01,0.019375293300280184,0.019007829624280125,0.02714221025446423,pm_oer_all_in,fam,-0.19576429144345653,-7.212540526660244
2016-03-01,0.018623824293396124,0.018351543871181607,0.026146242440687244,pm_oer_all_in,fam,-0.27345821085471567,-10.458795808807162
2016-04-01,0.017845088019063583,0.018023795901645368,0.025363445844606664,pm_oer_all_in,fam,-0.27051845533532237,-10.665682296983553
2016-05-01,0.020364848734576283,0.020106596293567498,0.02861821585100433,pm_oer_all_in,fam,-0.3228328087836019,-11.280675583145145
2016-06-01,0.021954704034445365,0.02226848556167504,0.03127130439317525,pm_oer_all_in,fam,-0.35859008442926665,-11.467065138079962
2016-07-01,0.022635008275978395,0.022562115558011957,0.03195923431665245,pm_oer_all_in,fam,-0.39157061208296984,-12.252190030689842
2016-08-01,0.022544266839996566,0.022554308010806982,0.03188950888927768,pm_oer_all_in,fam,-0.3665620188578078,-11.494752714146005
2016-09-01,0.020199899274833674,0.02095301433743506,0.029104376656066442,pm_oer_all_in,fam,-0.3122940676376196,-10.730141082493372
2016-10-01,0.01932514351975855,0.020065090281443366,0.0278580153647337,pm_oer_all_in,fam,-0.26892404469882614,-9.653381304371925
2016-11-01,0.019201805502215962,0.020056294208566718,0.02776624338878989,pm_oer_all_in,fam,-0.27892411582362,-10.045439417859114
2016-12-01,0.019505666930183612,0.020266053690365254,0.02812799272205583,pm_oer_all_in,fam,-0.24461399902619974,-8.696461259903273
2017-01-01,0.023716940591985716,0.020850427483387377,0.031579005641149877,pm_oer_all_in,fam,-0.20560744615121251,-6.5108904468888715
2017-02-01,0.030055358011976938,0.027059683913718945,0.04044194652509305,pm_oer_all_in,fam,-0.19726315093970825,-4.877686854595691
2017-03-01,0.025888001737008046,0.022600044045903756,0.03436496216805893,pm_oer_all_in,fam,-0.22506787541292095,-6.549341573904421
2017-04-01,0.023654561236815017,0.020992303420197915,0.03162617697717959,pm_oer_all_in,fam,-0.27342907164200625,-8.645656787391776
2017-05-01,0.02110112886116107,0.019133371346405123,0.028484092723742513,pm_oer_all_in,fam,-0.2897167981791071,-10.171178734354342
2017-06-01,0.021036999635426806,0.019039269326134495,0.028373387709859983,pm_oer_all_in,fam,-0.29796855356201135,-10.501691113129393
2017-07-01,0.022229856207395204,0.01915437733443253,0.029343767278099956,pm_oer_all_in,fam,-0.29151797506818955,-9.934579030203707
2017-08-01,0.022978351550768376,0.020000382434589282,0.03046341966228557,pm_oer_all_in,fam,-0.2688665657069267,-8.825882605680997
2017-09-01,0.026256724360562363,0.02319892328302285,0.03503720330788587,pm_oer_all_in,fam,-0.23260548121453173,-6.638814153359634
2017-10-01,0.023595350981895427,0.020882894572031203,0.03150929820966192,pm_oer_all_in,fam,-0.2698525988875211,-8.564221173443155
2017-11-01,0.023340084080337893,0.022131213798623147,0.03216442365529981,pm_oer_all_in,fam,-0.22716451317568165,-7.062601699634409
2017-12-01,0.01911833875942426,0.0186828104781645,0.026731223022583857,pm_oer_all_in,fam,-0.1981195949610992,-7.4115424795086255
2018-01-01,0.01854902233273518,0.018825559773189733,0.02642854385459494,pm_oer_all_in,fam,-0.20193616389456714,-7.6408357950246275
2018-02-01,0.01961277239154924,0.020070480264978787,0.028062163475926424,pm_oer_all_in,fam,-0.16719309133488292,-5.957954434921319
2018-03-01,0.01801942139152474,0.01826936006935223,0.02566065206944245,pm_oer_all_in,fam,-0.1369913168693948,-5.338575048625852
2018-04-01,0.020674412411269667,0.020616692161137245,0.02919724857273985,pm_oer_all_in,fam,-0.09660126164130478,-3.308574141862703
2018-05-01,0.024908952139234015,0.02519287234487656,0.03542790868312575,pm_oer_all_in,fam,-0.04532429069310506,-1.2793385886391013
