basket,group,from,to,cum_pct,annualized
ex_shelter,all_cu,2013-12-01,2026-07-01,32.11286053156959,2.238331493722212
ex_shelter,families_kids,2013-12-01,2026-07-01,32.33458863243997,2.2519603326774495
ex_shelter,single_other,2013-12-01,2026-07-01,32.94779274833375,2.289542651640808
ex_shelter,married_kids,2013-12-01,2026-07-01,32.205132427770586,2.2440056754952975
ex_shelter,single_parent,2013-12-01,2026-07-01,33.46123507451486,2.3208881906818357
ex_shelter,married_nokids,2013-12-01,2026-07-01,30.692479369652382,2.150522937010524
ex_shelter,all_cu,2010-12-01,2026-07-01,40.46557234772345,2.204749411385176
ex_shelter,families_kids,2010-12-01,2026-07-01,40.68147563618074,2.2148245245331433
ex_shelter,single_other,2010-12-01,2026-07-01,41.34834150845623,2.245852661972858
ex_shelter,married_kids,2010-12-01,2026-07-01,40.59194262247159,2.2106482294537377
ex_shelter,single_parent,2010-12-01,2026-07-01,41.53358772977893,2.2544475416940157
ex_shelter,married_nokids,2010-12-01,2026-07-01,38.9636202147682,2.134257157277064
ex_housing,all_cu,2019-12-01,2026-07-01,24.14886031860295,3.341109933308739
ex_housing,families_kids,2019-12-01,2026-07-01,24.910329572500434,3.4371631223580668
ex_housing,single_other,2019-12-01,2026-07-01,24.83159405518982,3.427254328292495
ex_housing,married_kids,2019-12-01,2026-07-01,24.644346258916137,3.403668053356834
ex_housing,single_parent,2019-12-01,2026-07-01,27.21437655325081,3.7248059357875674
ex_housing,married_nokids,2019-12-01,2026-07-01,22.01819464901853,3.0696635272559503
ex_housing,all_cu,2020-12-01,2026-07-01,22.910896393835145,3.7663099883934015
ex_housing,families_kids,2020-12-01,2026-07-01,23.76664989660908,3.8954209948623086
ex_housing,single_other,2020-12-01,2026-07-01,23.641038191714415,3.8765154199943197
ex_housing,married_kids,2020-12-01,2026-07-01,23.46969241378185,3.8507010626976257
ex_housing,single_parent,2020-12-01,2026-07-01,26.32604506659042,4.277242828570094
ex_housing,married_nokids,2020-12-01,2026-07-01,20.604919456679703,3.41468776442313
ex_housing,all_cu,2013-12-01,2026-07-01,34.34241339970063,2.3744261094265307
ex_housing,families_kids,2013-12-01,2026-07-01,34.30520469346045,2.372171958548175
ex_housing,single_other,2013-12-01,2026-07-01,35.41388215605159,2.43909174018071
ex_housing,married_kids,2013-12-01,2026-07-01,34.15413302113392,2.363013934831315
ex_housing,single_parent,2013-12-01,2026-07-01,35.67534595250914,2.4548001837583655
ex_housing,married_nokids,2013-12-01,2026-07-01,32.95895083183831,2.290225033772164
ex_housing,all_cu,2010-12-01,2026-07-01,44.57200187126462,2.3939387544180457
ex_housing,families_kids,2010-12-01,2026-07-01,44.4483298814756,2.3883148628766504
ex_housing,single_other,2010-12-01,2026-07-01,45.75651291674152,2.4475766142690425
ex_housing,married_kids,2010-12-01,2026-07-01,44.32617909166765,2.3827557218568884
ex_housing,single_parent,2010-12-01,2026-07-01,45.63534948829504,2.442108773058016
ex_housing,married_nokids,2010-12-01,2026-07-01,43.16311149322733,2.3296022856929666
all_in_long,all_cu,2019-12-01,2026-07-01,28.923047553034454,3.9352809255426724
all_in_long,families_kids,2019-12-01,2026-07-01,28.668141133465742,3.9040321238668296
all_in_long,single_other,2019-12-01,2026-07-01,29.64602288706475,4.02362578800477
all_in_long,married_kids,2019-12-01,2026-07-01,28.48576852531608,3.881642958008946
all_in_long,single_parent,2019-12-01,2026-07-01,29.973591249844155,4.063515939085871
all_in_long,married_nokids,2019-12-01,2026-07-01,28.173939015825166,3.8432983650890318
all_in_long,all_cu,2020-12-01,2026-07-01,27.711720468777546,4.481321556671558
all_in_long,families_kids,2020-12-01,2026-07-01,27.509289868948116,4.451621806647754
all_in_long,single_other,2020-12-01,2026-07-01,28.241055853557494,4.558801158048453
all_in_long,married_kids,2020-12-01,2026-07-01,27.35090974443979,4.428357957293039
all_in_long,single_parent,2020-12-01,2026-07-01,28.64420225143045,4.617634395853432
all_in_long,married_nokids,2020-12-01,2026-07-01,27.129693862785587,4.395824624363853
all_in_long,all_cu,2013-12-01,2026-07-01,36.49042206476582,2.503590807138134
all_in_long,families_kids,2013-12-01,2026-07-01,35.71210511844167,2.4570063974749257
all_in_long,single_other,2013-12-01,2026-07-01,39.04443785497966,2.654756516502488
all_in_long,married_kids,2013-12-01,2026-07-01,35.2445905978634,2.4289060007134156
all_in_long,single_parent,2013-12-01,2026-07-01,38.982886895369106,2.651143636861697
all_in_long,married_nokids,2013-12-01,2026-07-01,34.289512131596055,2.37122111078516
all_in_long,all_cu,2010-12-01,2026-07-01,44.83853285416743,2.4060437613286245
all_in_long,families_kids,2010-12-01,2026-07-01,44.09970170598745,2.3724369676428214
all_in_long,single_other,2010-12-01,2026-07-01,47.7517366673857,2.537010232550818
all_in_long,married_kids,2010-12-01,2026-07-01,43.58274668751938,2.34882650771151
all_in_long,single_parent,2010-12-01,2026-07-01,47.70631382666743,2.534986810556239
all_in_long,married_nokids,2010-12-01,2026-07-01,42.048265437319785,2.2782719338077406
ex_shelter_long,all_cu,2019-12-01,2026-07-01,28.934809977514007,3.936721607905813
ex_shelter_long,families_kids,2019-12-01,2026-07-01,28.761084085448907,3.91543201260951
ex_shelter_long,single_other,2019-12-01,2026-07-01,29.42506797795601,3.9966703572906326
ex_shelter_long,married_kids,2019-12-01,2026-07-01,28.68244401171294,3.9057868934891937
ex_shelter_long,single_parent,2019-12-01,2026-07-01,29.44912103177981,3.9996066057073065
ex_shelter_long,married_nokids,2019-12-01,2026-07-01,28.42915998187592,3.8746878692809794
ex_shelter_long,all_cu,2020-12-01,2026-07-01,27.60556395676188,4.465751550487962
ex_shelter_long,families_kids,2020-12-01,2026-07-01,27.466607280098575,4.445354660426859
ex_shelter_long,single_other,2020-12-01,2026-07-01,28.092045053021163,4.537016813583206
ex_shelter_long,married_kids,2020-12-01,2026-07-01,27.371996815489787,4.431456726230509
ex_shelter_long,single_parent,2020-12-01,2026-07-01,28.279637540627522,4.564438146623817
ex_shelter_long,married_nokids,2020-12-01,2026-07-01,27.044673262306617,4.383308623975024
ex_shelter_long,all_cu,2013-12-01,2026-07-01,33.571805796676934,2.3276239796123033
