variant,basket,group,method,from,to,cum
headline,exsh,01,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.386406209914239
headline,exsh,01,annual_avg_tornqvist,2014-07-01,2019-07-01,3.0927658461286534
headline,exsh,01,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.808743271106668
headline,exsh,01,annual_avg_tornqvist,2019-07-01,2024-07-01,20.65464492135689
headline,exsh,03,lasp_lag2,2014-12-01,2019-12-01,5.460921395342511
headline,exsh,03,lasp_lag2,2019-12-01,2024-12-01,19.891779010345466
headline,exsh,03,lasp_lag2,2019-12-01,2026-07-01,26.59436963105111
headline,exsh,03,lasp_lag1,2014-12-01,2019-12-01,5.460770769577028
headline,exsh,03,lasp_lag1,2019-12-01,2024-12-01,20.333528339126428
headline,exsh,03,lasp_lag1,2019-12-01,2026-07-01,NA
headline,exsh,03,lasp_lag0,2014-12-01,2019-12-01,5.0798798825777425
headline,exsh,03,lasp_lag0,2019-12-01,2024-12-01,19.937419137710787
headline,exsh,03,lasp_lag0,2019-12-01,2026-07-01,NA
headline,exsh,03,tornqvist,2014-12-01,2019-12-01,4.9048015630624775
headline,exsh,03,tornqvist,2019-12-01,2024-12-01,19.694193242855306
headline,exsh,03,tornqvist,2019-12-01,2026-07-01,NA
headline,exsh,03,tornqvist_ext,2014-12-01,2019-12-01,4.9048015630624775
headline,exsh,03,tornqvist_ext,2019-12-01,2024-12-01,19.694193242855306
headline,exsh,03,tornqvist_ext,2019-12-01,2026-07-01,26.267178301478843
headline,exsh,03,annual_avg_lasp_lag2,2014-07-01,2019-07-01,3.526082817135179
headline,exsh,03,annual_avg_tornqvist,2014-07-01,2019-07-01,3.1458478827093295
headline,exsh,03,annual_avg_lasp_lag2,2019-07-01,2024-07-01,20.189201522972656
headline,exsh,03,annual_avg_tornqvist,2019-07-01,2024-07-01,20.04135826925917
deep,oer,F1,lasp_lag2,2014-12-01,2019-12-01,8.538212669906887
deep,oer,F1,lasp_lag2,2019-12-01,2024-12-01,22.859203771827417
deep,oer,F1,lasp_lag2,2019-12-01,2026-07-01,29.803315830952926
deep,oer,F1,lasp_lag1,2014-12-01,2019-12-01,8.479374163679875
deep,oer,F1,lasp_lag1,2019-12-01,2024-12-01,23.120383066687424
deep,oer,F1,lasp_lag1,2019-12-01,2026-07-01,NA
deep,oer,F1,lasp_lag0,2014-12-01,2019-12-01,8.124133775394071
deep,oer,F1,lasp_lag0,2019-12-01,2024-12-01,22.900506759072314
deep,oer,F1,lasp_lag0,2019-12-01,2026-07-01,NA
deep,oer,F1,tornqvist,2014-12-01,2019-12-01,7.941240072951783
deep,oer,F1,tornqvist,2019-12-01,2024-12-01,22.491701474593118
deep,oer,F1,tornqvist,2019-12-01,2026-07-01,NA
deep,oer,F1,tornqvist_ext,2014-12-01,2019-12-01,7.941240072951783
deep,oer,F1,tornqvist_ext,2019-12-01,2024-12-01,22.491701474593118
deep,oer,F1,tornqvist_ext,2019-12-01,2026-07-01,29.344704107186747
deep,oer,F1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.000641042947953
deep,oer,F1,annual_avg_tornqvist,2014-07-01,2019-07-01,6.580067263593681
deep,oer,F1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.719847056634524
deep,oer,F1,annual_avg_tornqvist,2019-07-01,2024-07-01,22.472305520698654
deep,oer,K1,lasp_lag2,2014-12-01,2019-12-01,8.547454162225797
deep,oer,K1,lasp_lag2,2019-12-01,2024-12-01,22.79095393636068
deep,oer,K1,lasp_lag2,2019-12-01,2026-07-01,29.726285742605498
deep,oer,K1,lasp_lag1,2014-12-01,2019-12-01,8.534869802040767
deep,oer,K1,lasp_lag1,2019-12-01,2024-12-01,23.121678788519517
deep,oer,K1,lasp_lag1,2019-12-01,2026-07-01,NA
deep,oer,K1,lasp_lag0,2014-12-01,2019-12-01,8.173306777873623
deep,oer,K1,lasp_lag0,2019-12-01,2024-12-01,22.94767234478399
deep,oer,K1,lasp_lag0,2019-12-01,2026-07-01,NA
deep,oer,K1,tornqvist,2014-12-01,2019-12-01,8.001560520221496
deep,oer,K1,tornqvist,2019-12-01,2024-12-01,22.5284151527984
deep,oer,K1,tornqvist,2019-12-01,2026-07-01,NA
deep,oer,K1,tornqvist_ext,2014-12-01,2019-12-01,8.001560520221496
deep,oer,K1,tornqvist_ext,2019-12-01,2024-12-01,22.5284151527984
deep,oer,K1,tornqvist_ext,2019-12-01,2026-07-01,29.375156382581547
deep,oer,K1,annual_avg_lasp_lag2,2014-07-01,2019-07-01,7.037135331024014
deep,oer,K1,annual_avg_tornqvist,2014-07-01,2019-07-01,6.657339248913496
deep,oer,K1,annual_avg_lasp_lag2,2019-07-01,2024-07-01,22.598860564809065
deep,oer,K1,annual_avg_tornqvist,2019-07-01,2024-07-01,22.508590151510454
deep,oer,10,lasp_lag2,2014-12-01,2019-12-01,9.617336925017717
deep,oer,10,lasp_lag2,2019-12-01,2024-12-01,23.533904337621657
deep,oer,10,lasp_lag2,2019-12-01,2026-07-01,30.46604496295744
deep,oer,10,lasp_lag1,2014-12-01,2019-12-01,9.520576968204342
deep,oer,10,lasp_lag1,2019-12-01,2024-12-01,23.281837975734597
deep,oer,10,lasp_lag1,2019-12-01,2026-07-01,NA
