year,cat_id,cat_label,major,families_kids,single_other,gap_pp
2020,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.993347319933517,3.4423599661334165,-0.44901264619989956
2021,06,"Owned dwellings: maintenance, repairs, insurance",Housing,3.105197213118536,3.41523239378066,-0.310035180662124
2022,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.8242816272378857,3.740849616692605,-0.9165679894547192
2023,06,"Owned dwellings: maintenance, repairs, insurance",Housing,2.878223618189576,3.366912675752842,-0.48868905756326564
2024,06,"Owned dwellings: maintenance, repairs, insurance",Housing,3.2445416411304646,3.578560446745719,-0.33401880561525443
1988,07,Rented dwellings,Housing,4.089521636775995,10.690212244443206,-6.600690607667211
1989,07,Rented dwellings,Housing,3.697020020551809,10.4469010321161,-6.749881011564291
1990,07,Rented dwellings,Housing,3.911086674333861,10.311537859416584,-6.400451185082723
1991,07,Rented dwellings,Housing,3.828452530515912,10.675890901851483,-6.847438371335571
1992,07,Rented dwellings,Housing,4.321652638018454,11.187438665358194,-6.865786027339739
1993,07,Rented dwellings,Housing,4.160624150048413,10.547805375978225,-6.387181225929812
1994,07,Rented dwellings,Housing,4.380651039977565,10.322108345534406,-5.941457305556842
1995,07,Rented dwellings,Housing,4.070248442170578,10.486036519871108,-6.4157880777005305
1996,07,Rented dwellings,Housing,4.1508583346403745,10.122936726272352,-5.972078391631977
1997,07,Rented dwellings,Housing,3.9862262553122214,10.82367549668874,-6.837449241376518
1998,07,Rented dwellings,Housing,3.811950919051258,10.562781086665856,-6.750830167614598
1999,07,Rented dwellings,Housing,3.7706609859394127,10.404490032901103,-6.63382904696169
2000,07,Rented dwellings,Housing,3.6960932976720127,10.107826873774696,-6.411733576102684
2001,07,Rented dwellings,Housing,3.72271151393002,10.132781889420984,-6.410070375490964
2002,07,Rented dwellings,Housing,3.664198231605822,9.84385370454466,-6.179655472938839
2003,07,Rented dwellings,Housing,3.631321040154192,10.298919869379551,-6.6675988292253585
2004,07,Rented dwellings,Housing,3.486342171431429,9.669270400531827,-6.182928229100398
2005,07,Rented dwellings,Housing,3.3888166260897425,9.833259367273188,-6.444442741183446
2006,07,Rented dwellings,Housing,3.771829671440646,10.042062534929553,-6.270232863488907
2007,07,Rented dwellings,Housing,3.58450514619499,10.084400465657742,-6.499895319462752
2008,07,Rented dwellings,Housing,3.6947664328243626,10.346391518793585,-6.651625085969222
2009,07,Rented dwellings,Housing,4.386742321797344,10.754716981132075,-6.367974659334731
2010,07,Rented dwellings,Housing,4.59039034709736,10.585709727016912,-5.995319379919552
2011,07,Rented dwellings,Housing,4.839413917207522,10.540760032484808,-5.701346115277286
2012,07,Rented dwellings,Housing,4.487584069088778,11.09205576454968,-6.604471695460902
2013,07,Rented dwellings,Housing,4.760541623872264,11.331108843725008,-6.5705672198527445
2014,07,Rented dwellings,Housing,5.313555961712734,11.767826825127337,-6.454270863414602
2015,07,Rented dwellings,Housing,5.220506301936566,11.95917632844032,-6.738670026503754
2016,07,Rented dwellings,Housing,5.188851882184214,12.505492359517648,-7.316640477333434
2017,07,Rented dwellings,Housing,5.473565366099716,12.059964557689543,-6.586399191589828
2018,07,Rented dwellings,Housing,5.027536717890985,12.60579696439548,-7.578260246504495
2019,07,Rented dwellings,Housing,5.270965657655247,12.05457319809712,-6.783607540441873
2020,07,Rented dwellings,Housing,5.133266040230742,12.310057484069338,-7.176791443838596
2021,07,Rented dwellings,Housing,4.71163999014804,12.430365012056209,-7.718725021908169
2022,07,Rented dwellings,Housing,4.671567943201757,11.983399619574616,-7.311831676372859
2023,07,Rented dwellings,Housing,4.745578565061579,12.300454308750382,-7.554875743688803
2024,07,Rented dwellings,Housing,4.233825416047973,13.158499301959814,-8.92467388591184
1988,08,Other lodging,Housing,1.7688239492024287,1.4762408779455185,0.2925830712569102
1989,08,Other lodging,Housing,1.5424148213479094,1.4512495415727982,0.09116527977511124
1990,08,Other lodging,Housing,1.098559254936469,1.069769869018421,0.028789385918048138
1991,08,Other lodging,Housing,1.0166445742522792,0.8212223770654987,0.19542219718678044
1992,08,Other lodging,Housing,1.0287664444895102,0.8488714425907753,0.17989500189873486
1993,08,Other lodging,Housing,1.098268301350227,1.0742234968162154,0.024044804534011588
1994,08,Other lodging,Housing,1.008234225995958,1.0248901903367496,-0.01665596434079153
1995,08,Other lodging,Housing,1.0928836365725534,0.9622269960615826,0.1306566405109708
1996,08,Other lodging,Housing,1.1024504409195726,1.0660247592847318,0.03642568163484072
1997,08,Other lodging,Housing,1.1887503313986183,0.9147350993377484,0.27401523206086986
1998,08,Other lodging,Housing,1.105992426634459,1.1061140148292208,-1.2158819476182359e-4
1999,08,Other lodging,Housing,1.0542230992357329,1.1534739694213276,-0.09925087018559475
2000,08,Other lodging,Housing,1.0889969919381617,1.0367968632182174,0.05220012871994428
2001,08,Other lodging,Housing,1.129109717583167,0.9976781308953708,0.1314315866877962
2002,08,Other lodging,Housing,1.0457871892347277,1.0968665944737486,-0.05107940523902088
2003,08,Other lodging,Housing,0.9692537686832248,0.8935299816987835,0.07572378698444127
2004,08,Other lodging,Housing,0.9936771097568388,0.8874854578693702,0.1061916518874686
2005,08,Other lodging,Housing,1.0022258445539487,0.7956634755595005,0.20656236899444824
2006,08,Other lodging,Housing,1.0439890811084456,0.9147865988175428,0.1292024822909028
2007,08,Other lodging,Housing,1.1846079867014918,1.038998835855646,0.14560915084584591
2008,08,Other lodging,Housing,1.1543322066781034,1.079993196893248,0.07433900978485553
2009,08,Other lodging,Housing,1.2222833795199244,1.0798258345428158,0.1424575449771086
2010,08,Other lodging,Housing,1.2094677099063076,1.070465028574744,0.13900268133156368
2011,08,Other lodging,Housing,1.1011740350877168,0.8625276540928057,0.2386463809949111
