cat_id,major,cat_label,in_cpi_scope,all_cu,families_kids,married_kids,married_nokids,single_other,single_parent
18,Apparel,Apparel: men and boys,TRUE,0.5946393327815623,0.6746395000583103,0.6884711889774178,0.5536324376740672,0.5354586742538039,0.5496548490874112
19,Apparel,Apparel: women and girls,TRUE,0.9473483160374355,1.0479695627958414,1.026543997887045,0.9550441440120875,0.8305794617138212,1.2415733061739174
20,Apparel,Apparel: children under 2,TRUE,0.09804545743935825,0.1905431197491819,0.20161112822995994,0.03833707307722665,0.03004223584922332,0.0905313869085148
21,Apparel,Footwear,TRUE,0.5869994270070669,0.6382069659941867,0.6013117929304046,0.5051473158411041,0.5990775266403945,0.9715957773574535
22,Apparel,Other apparel products and services,TRUE,0.3208760425288088,0.24483972982594823,0.2341858520051063,0.3766053649351089,0.33753335571774434,0.34110933281601113
23,Transport,Vehicle purchases (net outlay),PARTIAL,6.795696186413701,7.264762713675318,7.184927587269446,7.267130470080169,6.137452064961917,7.98616163085827
24,Transport,Gasoline and other fuels,TRUE,3.36792512892341,3.5554846225072323,3.5576880750099047,3.1323643826039893,3.2516302330924063,3.535573985159319
25,Transport,Other vehicle expenses,PARTIAL,5.355573947921309,5.414751487630695,5.435576880750099,5.105596085108302,5.407602452860197,5.226570962057649
26,Transport,Public and other transportation,TRUE,1.440122238492392,1.2311882179042046,1.1999823920412027,1.765760483498145,1.457932033859367,1.5131674668994617
27,Health,Health insurance,PARTIAL,5.16330298592984,4.5085084488562694,4.633534357529603,6.513919740209952,4.847403113789386,3.378760689978499
28,Health,Medical services,TRUE,1.5941936716113834,1.5502370440343594,1.5935202711625656,1.6834485324793937,1.6028416420732676,1.1591250788108056
29,Health,Drugs,TRUE,0.8378429999363342,0.6586631187564845,0.6682220363604349,1.0993719485381173,0.8464841748104688,0.57228769581454
30,Health,Medical supplies,TRUE,0.2966830075762399,0.21836313820394948,0.22714266848615575,0.493871706112508,0.24387226748193047,0.13903034418093344
31,Entertainment,Fees and admissions,TRUE,1.1905519831922073,1.492481926251958,1.5327728133116167,1.2369343872269893,0.8676904589393324,1.1284090725382738
32,Entertainment,Audio and visual equipment and services,TRUE,1.2287515120646846,0.9630470407924215,0.9508297750583263,1.3925378014816152,1.4278897980101437,1.0734435876295327
33,Entertainment,"Pets, toys, hobbies, and playground equipment",TRUE,1.3611765454892724,1.4111070414731368,1.4790685389796188,1.5086765816861547,1.2175941470655804,0.7969995311767464
34,Entertainment,"Other entertainment supplies, equipment, services",TRUE,0.8149232826128477,0.7473873324097805,0.7817933706035128,0.9775953634692796,0.7581246576068709,0.43649061545176776
35,Personal care,Personal care products and services,TRUE,1.245304641242758,1.2362282320553055,1.207905973500022,1.2763990212770755,1.237033240850372,1.4921512520814135
36,Reading,Reading,TRUE,0.15916470363532184,0.1618966727332756,0.16639521063520712,0.18040975565753717,0.1413752275257568,0.1212473931810466
37,Education,Education,PARTIAL,1.9978353600305596,2.763196981115372,2.828718580798521,1.4522985330431744,1.5409899800307492,2.1711366538952745
38,Tobacco,Tobacco products and smoking supplies,TRUE,0.4482078054370663,0.28449894072311976,0.2764449531188097,0.36983999909795123,0.6679979500592009,0.3572756519068173
39,Miscellaneous,Miscellaneous,PARTIAL,1.5509008722225759,1.3681649412272907,1.3073909407051987,1.258358045711322,2.0022266598335308,1.917325444169617
40,Out of scope,Cash contributions,FALSE,2.918444005857261,2.1421040593032292,2.1578553506184797,3.8246868199397883,3.2074504744906074,1.9997736715327288
41,Out of scope,Personal insurance and pensions,FALSE,12.474692812121983,14.868814654764508,15.51349209842849,11.849538263781614,10.362804177637974,9.043438899396996
