basket,pair,from,to,cum_1,cum_2,gap_pp,se_indep,se_corr
pm_ex_shelter,fam,2013-12-01,2026-07-01,33.75770372324798,34.544858575974935,-0.7871548527269567,0.3134494966557425,0.9313515388378668
pm_ex_shelter,par,2013-12-01,2026-07-01,34.098655508800405,33.72714745817065,0.3715080506297568,0.6360094898914955,1.8063960484106558
pm_ex_shelter,mk,2013-12-01,2026-07-01,33.72714745817065,34.544858575974935,-0.8177111178042864,0.3278501254452312,0.9736120006085313
oer_all_in,fam,2019-12-01,2026-07-01,27.456467162031274,28.063887754650473,-0.6074205926191993,0.2224836798190381,0.5129189254894948
oer_all_in,par,2019-12-01,2026-07-01,28.962703973698332,27.268015063190965,1.6946889105073666,0.4629548082662827,1.033022650433568
oer_all_in,mk,2019-12-01,2026-07-01,27.268015063190965,28.063887754650473,-0.7958726914595076,0.23437569033759226,0.5409620031865642
oer_all_in,fam,2020-12-01,2026-07-01,25.695904755710952,26.142619187209483,-0.4467144314985312,0.21411905106526707,0.4581572144554504
oer_all_in,par,2020-12-01,2026-07-01,27.219538087449745,25.505267720218928,1.7142703672308173,0.44424789056428443,0.9133576900044381
oer_all_in,mk,2020-12-01,2026-07-01,25.505267720218928,26.142619187209483,-0.6373514669905553,0.22562965015174113,0.4835550074419172
oer_all_in,fam,2013-12-01,2026-07-01,40.38186873282559,42.86217742516178,-2.4803086923361946,0.26717125277171566,0.8140690323234974
oer_all_in,par,2013-12-01,2026-07-01,41.9784016634706,40.181766505990055,1.7966351574805444,0.5470684167086205,1.6147549648754345
oer_all_in,mk,2013-12-01,2026-07-01,40.181766505990055,42.86217742516178,-2.6804109191717274,0.2808488400584945,0.8547593197827709
pm_oer_all_in,fam,2019-12-01,2026-07-01,29.42161330177211,30.107703996290724,-0.6860906945186152,0.21605163210310294,0.49325598965520084
pm_oer_all_in,par,2019-12-01,2026-07-01,30.245188290647263,29.320207076877814,0.9249812137694491,0.4537121612478096,0.9999511979124669
pm_oer_all_in,mk,2019-12-01,2026-07-01,29.320207076877814,30.107703996290724,-0.7874969194129093,0.22716387977018704,0.5194617345751399
pm_oer_all_in,fam,2020-12-01,2026-07-01,27.82221848811879,28.328058941014355,-0.5058404528955656,0.20762398936651943,0.43814559501503214
pm_oer_all_in,par,2020-12-01,2026-07-01,28.641512700117744,27.721320409121564,0.9201922909961802,0.43533502932283263,0.881400549671224
pm_oer_all_in,mk,2020-12-01,2026-07-01,27.721320409121564,28.328058941014355,-0.6067385318927911,0.218324221993879,0.4615767811661591
pm_oer_all_in,fam,2013-12-01,2026-07-01,41.386628754086566,43.87284550149522,-2.4862167474086547,0.2548641465896822,0.7638676553652753
pm_oer_all_in,par,2013-12-01,2026-07-01,42.423840823523506,41.2570550326049,1.1667857909186026,0.5283168476457379,1.5291730514334039
pm_oer_all_in,mk,2013-12-01,2026-07-01,41.2570550326049,43.87284550149522,-2.6157904688903173,0.26743401732890465,0.8009655408188471
