variant,basket,g1,g2,from,to,cum1,cum2,gap,se_indep,se_persist,se_bound,z_indep,z_bound,p_indep,p_persist,p_bound,mean_gap_12m,variant_label
fin_all,exsh,F1,10,2019-12-01,2026-07-01,27.41546659292069,27.865059318487994,-0.4495927255673031,0.24405926070804995,0.14661463568328065,0.5629452390599112,-1.8421457324052033,-0.7986438011592374,0.06545383586686301,0.002165860201842138,0.4244969820340063,-0.05646736684871215,All separable finance charges removed (5)
fin_all,exsh,K1,10,2019-12-01,2026-07-01,27.16528168879131,27.865059318487994,-0.6997776296966833,0.2740476679596256,0.1678680043895334,0.632703061240711,-2.5534887229902608,-1.106012713648708,0.010664973215662683,3.064517365720857e-5,0.2687210165596603,-0.08957826922339768,All separable finance charges removed (5)
childcare,oer,F1,10,2019-12-01,2026-07-01,29.424693889553645,30.123233373189517,-0.6985394836358729,0.18397377910387197,0.11411210180183799,0.42861051288071905,-3.7969513212068993,-1.6297768315129364,1.464865410442374e-4,9.268703389122486e-10,0.10314867214383748,-0.10661880403907446,Real childcare items (4)
childcare,oer,K1,10,2019-12-01,2026-07-01,29.27223195294586,30.123233373189517,-0.8510014202436587,0.20736542274485262,0.13419939382872326,0.4835676013937465,-4.103873292756002,-1.7598396124779419,4.0629003993613586e-5,2.2780348523232393e-10,0.07843500455445726,-0.12526282336512867,Real childcare items (4)
childcare,exsh,F1,10,2019-12-01,2026-07-01,27.484814123023014,27.916877830696052,-0.4320637076730378,0.24264005213015688,0.14799478850829598,0.5612166997031274,-1.7806776081686233,-0.7698696562336634,0.07496513321695714,0.003506471897519874,0.44137721512012007,-0.05240147431160318,Real childcare items (4)
childcare,exsh,K1,10,2019-12-01,2026-07-01,27.224766259848266,27.916877830696052,-0.6921115708477856,0.2725859681476571,0.16978667612923992,0.6310874045592101,-2.539057955004036,-1.096696853474993,0.011115140897631133,4.574622824258917e-5,0.27277393239132897,-0.08664231524398382,Real childcare items (4)
vehicles,oer,F1,10,2019-12-01,2026-07-01,29.77111651941584,30.47387981107965,-0.7027632916638105,0.23232767804345267,0.11600228277085867,0.5159329825573886,-3.0248797628510338,-1.3621212743181044,0.002487319882699315,1.3766599914270464e-9,0.17315961539113217,-0.10955724372943405,"Vehicles split: new, used, cost pieces (8)"
vehicles,oer,K1,10,2019-12-01,2026-07-01,29.645596353905002,30.47387981107965,-0.8282834571746491,0.26179887310120725,0.13215873718072957,0.5806439469579054,-3.1638159758405378,-1.4264911595379064,0.0015571521992133988,3.6727271493645977e-10,0.15372661693329415,-0.12550752952916122,"Vehicles split: new, used, cost pieces (8)"
vehicles,exsh,F1,10,2019-12-01,2026-07-01,27.94791624287356,28.432190261318226,-0.48427401844466544,0.3162724926423816,0.15161577986443495,0.6927287897073982,-1.5311923411317594,-0.6990816978304281,0.12572186310976888,0.001402737501730141,0.48450097565594474,-0.06208281760053367,"Vehicles split: new, used, cost pieces (8)"
vehicles,exsh,K1,10,2019-12-01,2026-07-01,27.720807232333744,28.432190261318226,-0.711383028984482,0.35487319385055216,0.16852044285602039,0.7762021307972735,-2.004611904510508,-0.9164919816102376,0.04500455297963836,2.4284827752277725e-5,0.35940891114871776,-0.0928734241661668,"Vehicles split: new, used, cost pieces (8)"
education,oer,F1,10,2019-12-01,2026-07-01,29.468979954049402,30.07640214936238,-0.6074221953129779,0.18331312530155836,0.1104851319548927,0.42762741327907633,-3.313577215563485,-1.4204472782865412,9.211066995097331e-4,3.846172001407363e-8,0.15547750705152302,-0.0964221377264968,Education split by level (8)
education,oer,K1,10,2019-12-01,2026-07-01,29.363575909587315,30.07640214936238,-0.7128262397750653,0.20664022721761727,0.12956770317970467,0.4824974993809042,-3.4496005418362836,-1.477367739086104,5.61416625332115e-4,3.764166717943088e-8,0.13957708903032182,-0.10954462836984252,Education split by level (8)
education,exsh,F1,10,2019-12-01,2026-07-01,27.54859147010642,27.844481676697708,-0.29589020659128806,0.24123603111920042,0.1435339496096949,0.559233919832602,-1.226558923302306,-0.5290991767449625,0.21998841599976945,0.03925870377704752,0.5967366525161273,-0.036925745205923635,Education split by level (8)
education,exsh,K1,10,2019-12-01,2026-07-01,27.35605390950586,27.844481676697708,-0.48842776719184755,0.2711226358473702,0.16415661668543027,0.6291588978952225,-1.8015012492974227,-0.7763186197093064,0.07162391056802987,0.0029262899169244434,0.4375608818163269,-0.06316549613935822,Education split by level (8)
deep_xw,oer,F1,10,2019-12-01,2026-07-01,29.821707588939894,30.45810249504859,-0.6363949061086949,0.2317347367147714,0.11229677918633348,0.5150849998735154,-2.746221456181581,-1.2355143447488635,0.006028605432957515,1.4525097236435341e-8,0.21663914111615426,-0.10178443525079732,"All deep splits, finance kept (4 + 8)"
deep_xw,oer,K1,10,2019-12-01,2026-07-01,29.73859130255714,30.45810249504859,-0.7195111924914492,0.26115244151223727,0.12722655695935958,0.5797812485232571,-2.755138678103202,-1.2410045932394227,0.0058667263395063745,1.555255661840756e-8,0.21460405206493033,-0.11269426592876795,"All deep splits, finance kept (4 + 8)"
deep_xw,exsh,F1,10,2019-12-01,2026-07-01,28.02058334180284,28.40797194065754,-0.3873885988546988,0.31498254338112813,0.1470101704937743,0.6909112762977832,-1.2298732326443866,-0.5606922511534377,0.2187445792300317,0.008410896113708615,0.5750073505653674,-0.05054677006319192,"All deep splits, finance kept (4 + 8)"
deep_xw,exsh,K1,10,2019-12-01,2026-07-01,27.854590962273363,28.40797194065754,-0.5533809783841761,0.3535255571438262,0.16239757131916693,0.7745896567012404,-1.5653209992935302,-0.7144182388658147,0.11750766171982707,6.554426246112256e-4,0.47496859715182854,-0.07401611093394929,"All deep splits, finance kept (4 + 8)"
deep,oer,F1,10,2019-12-01,2026-07-01,29.803315830952926,30.46604496295744,-0.6627291320045146,0.23388628271065134,0.11305486756376427,0.5194504267950221,-2.833552803198806,-1.2758274857786016,0.004603370203161192,4.572885159123933e-9,0.20201650912354063,-0.10632713050490933,"All deep splits, finance removed (4 + 5 + 8)"
deep,oer,K1,10,2019-12-01,2026-07-01,29.726285742605498,30.46604496295744,-0.7397592203519423,0.2635878865723989,0.12796716881780346,0.5846732003702964,-2.80649930454507,-1.265252486146832,0.00500830205880734,7.432340415682481e-9,0.20578083302973155,-0.11652403372772095,"All deep splits, finance removed (4 + 5 + 8)"
deep,exsh,F1,10,2019-12-01,2026-07-01,27.965601557529652,28.389651909373125,-0.42405035184347284,0.318833883012031,0.1483082386369385,0.6976278491243271,-1.3300040379568803,-0.6078460777845196,0.18351694088039988,0.004246437966176632,0.5432895655327847,-0.05653246975351005,"All deep splits, finance removed (4 + 5 + 8)"
deep,exsh,K1,10,2019-12-01,2026-07-01,27.807985170259887,28.389651909373125,-0.5816667391132384,0.3578080819350664,0.16339207323763458,0.7818186657589086,-1.6256389066661634,-0.7439918801997604,0.10402649346561867,3.709329495356391e-4,0.45688138743914947,-0.07898466755430894,"All deep splits, finance removed (4 + 5 + 8)"
