year,cat_id,rse_impl,rse_pub,group
2015,16,0.022895152933121127,0.025099236641221375,01
2016,16,0.021292688389918338,0.01793939393939394,01
2017,16,0.029767472717214156,0.031231788079470198,01
2018,16,0.030046103253679218,0.030602409638554217,01
2019,16,0.026172652902642656,0.023785900783289817,01
2020,16,0.03434795102320815,0.038183990442054956,01
2021,16,0.033205042608979135,0.03293897882938979,01
2022,16,0.029941651944387488,0.023176620076238878,01
2023,16,0.02729119256935082,0.028044009779951102,01
2024,16,0.029680188936500037,0.027229190421892816,01
2012,27,0.013966315191906935,0.016385249878699663,01
2013,27,0.014120606012165015,0.01591296545536115,01
2014,27,0.015805206915485533,0.020620641562064158,01
2015,27,0.01126763726314412,0.012976150487067519,01
2016,27,0.011175103816851611,0.013329113924050633,01
2017,27,0.011357694668659114,0.012469244288224957,01
2018,27,0.01270781428272857,0.014581497797356827,01
2019,27,0.011007237733887404,0.013244545196939643,01
2020,27,0.011981688645742016,0.015887646577583854,01
2021,27,0.011588753640522519,0.013053455723542117,01
2022,27,0.011839440992080556,0.011701795472287274,01
2023,27,0.011264094506309054,0.012022721659669054,01
2024,27,0.012613973789690624,0.015612823674475956,01
2012,20,0.06438512955288532,0.06634920634920634,01
2013,20,0.07434210365980239,0.0688,01
2014,20,0.05683802919427599,0.07013157894736842,01
2015,20,0.0981276580029423,0.08578313253012049,01
2016,20,0.08021386158066929,0.075,01
2017,20,0.08187876706943642,0.0835064935064935,01
2018,20,0.07639216425504891,0.08987179487179486,01
2019,20,0.08319694624867109,0.09306666666666667,01
2020,20,0.10963886185297289,0.08911764705882352,01
2021,20,0.09594370861058493,0.11166666666666666,01
2022,20,0.10043428087150737,0.11391891891891892,01
2023,20,0.09356253455238243,0.08499999999999999,01
2024,20,0.09524178845659555,0.10363636363636364,01
2012,41,0.016108319983402196,0.01856197460203899,01
2013,41,0.01649640474889094,0.02091353111432706,01
2014,41,0.015603659671407108,0.018117359413202933,01
2015,41,0.01676891150536541,0.01836037171208064,01
2016,41,0.020941755649438943,0.0214170692431562,01
2017,41,0.017687963457205268,0.021336582484123467,01
2018,41,0.021086537483037567,0.022109375,01
2019,41,0.01453575081531116,0.018294487090020937,01
2020,41,0.013639750902922089,0.01503174165056583,01
2021,41,0.014575002108239143,0.017591769338244634,01
2022,41,0.016252616888660573,0.01941203385952871,01
2023,41,0.016121904600360955,0.020505441607367097,01
2024,41,0.015143744733491577,0.01718383178524038,01
2012,28,0.036535430053844714,0.04466030989272944,01
2013,28,0.03636721234728922,0.03719849246231156,01
2014,28,0.03685568137689575,0.036658227848101264,01
2015,28,0.03700410434638332,0.044121365360303415,01
2016,28,0.03241356839226776,0.041384248210023865,01
2017,28,0.0320012484821156,0.03721330275229358,01
2018,28,0.03052674352041867,0.033575357535753574,01
2019,28,0.03608805326653961,0.03729674796747968,01
2020,28,0.040521117117550076,0.038425925925925926,01
2021,28,0.03948754742057062,0.04787850467289719,01
2022,28,0.04711135748701759,0.0520777027027027,01
2023,28,0.04220220688880747,0.04727635782747604,01
2024,28,0.0377501946520121,0.04296325878594249,01
2012,30,0.04119266061185824,0.043943661971830986,01
2013,30,0.04318672788153456,0.04207407407407407,01
2014,30,0.04094737709636069,0.047602739726027396,01
2015,30,0.039493204680873736,0.03885906040268457,01
2016,30,0.03460039856314023,0.03291390728476821,01
2017,30,0.0424595239794471,0.0492948717948718,01
2018,30,0.03702556835018567,0.04581395348837209,01
2019,30,0.06253155268227316,0.06273195876288659,01
2020,30,0.044598892511607494,0.05135294117647059,01
2021,30,0.03966487168176276,0.04701657458563536,01
2022,30,0.04540476517901212,0.041961722488038276,01
2023,30,0.05178642966815094,0.05460674157303371,01
2024,30,0.08135610281914996,0.08536480686695279,01
2012,18,0.033058675987046496,0.03,01
2013,18,0.04087510742352738,0.03893048128342246,01
2014,18,0.038163061268592015,0.03623255813953488,01
2015,18,0.04008689241526323,0.041469194312796206,01
2016,18,0.04678335124343013,0.05081967213114754,01
2017,18,0.03548835655510048,0.03705882352941176,01
2018,18,0.04480739281437097,0.04669047619047619,01
2019,18,0.05239268694581998,0.058411633109619686,01
2020,18,0.07648438550753552,0.07226993865030674,01
2021,18,0.05371819672073695,0.04469339622641509,01
2022,18,0.04528039774730888,0.050594713656387666,01
2023,18,0.05012807680994229,0.05601593625498008,01
2024,18,0.05284081307588348,0.05074946466809422,01
2012,09,0.01993032127348368,0.03337047353760446,01
2013,09,0.018597013662127723,0.028854961832061068,01
2014,09,0.02082562377420467,0.03341685649202734,01
2015,09,0.020158969366194556,0.03199524940617578,01
2016,09,0.019287186519458967,0.02963380281690141,01
2017,09,0.017323125349772064,0.029422572178477692,01
2018,09,0.01808096678012331,0.026926829268292683,01
2019,09,0.01837325722328294,0.02576923076923077,01
2020,09,0.021381525007744137,0.03282608695652174,01
2021,09,0.021700277393038002,0.03422818791946309,01
2022,09,0.0213571252692745,0.0282803738317757,01
2023,09,0.020900387582590746,0.03138888888888889,01
2024,09,0.021849763044537732,0.031683569979716025,01
2012,22,0.039321256527968716,0.036173913043478265,01
